10129,13261,16989,18260,19106,19997,20394,22566,24000,26502,28702,29007,30386,33173,34064,34793,35763,38659,38724,40335,40650,40995,41749,44579,44990,45572,46779,47488,49161,49364,49382,50055,1,,101,132,169,182,191,199,203,225,240,265,287,290,303,331,340,347,357,386,387,403,406,409,417,445,449,455,467,474,491,493,493,500,1,
4240,10313,12050,14803,21787,21935,22500,23549,24748,27156,28025,28517,29274,31154,31519,32947,33176,34136,34334,35497,37965,38249,38917,39267,42063,42424,43467,43757,44323,44440,44610,44752,1,,42,103,120,148,217,219,225,235,247,271,280,285,292,311,315,329,331,341,343,354,379,382,389,392,420,424,434,437,443,444,446,447,1,
12752,16740,21165,22727,22992,24181,24379,24510,24708,25672,28849,28919,29148,29339,30451,30706,32493,32966,33577,33613,35813,36514,37549,38431,38589,38873,42245,42502,43165,43665,44205,44793,1,,127,167,211,227,229,241,243,245,247,256,288,289,291,293,304,307,324,329,335,336,358,365,375,384,385,388,422,425,431,436,442,447,1,
6970,11851,13385,18431,19433,20622,23636,23811,24064,26476,28482,29717,31339,31786,32243,32360,33387,36832,38801,39935,40302,41149,41361,42947,45167,45607,46195,46553,48430,49800,50050,50529,1,,69,118,133,184,194,206,236,238,240,264,284,297,313,317,322,323,333,368,388,399,403,411,413,429,451,456,461,465,484,498,500,505,1,
9900,12568,14553,17925,18877,19986,21930,22130,23502,24262,24331,27426,27831,28204,29002,30106,32261,33687,34686,36023,36466,37577,37977,41900,42275,46776,47139,48438,48698,49062,49517,50950,1,,99,125,145,179,188,199,219,221,235,242,243,274,278,282,290,301,322,336,346,360,364,375,379,419,422,467,471,484,486,490,495,509,1,
876,6670,8890,16424,18381,18803,19989,20203,20272,21773,22162,23092,24267,25890,27183,28498,30538,31786,31891,33087,34093,34604,36047,36918,37091,37235,37936,38166,39956,40291,41716,41891,1,,8,66,88,164,183,188,199,202,202,217,221,230,242,258,271,284,305,317,318,330,340,346,360,369,370,372,379,381,399,402,417,418,1,
8540,10758,14876,16569,16976,17215,17785,23201,23438,26348,26505,28245,30550,31052,31073,32538,32772,33135,34160,36301,37772,38832,40151,43101,44990,46142,47479,47985,48554,49587,50034,51134,1,,85,107,148,165,169,172,177,232,234,263,265,282,305,310,310,325,327,331,341,363,377,388,401,431,449,461,474,479,485,495,500,511,1,
7900,11373,15732,16887,17493,18453,20401,20715,21335,22903,24361,24434,26285,27107,27176,28473,28913,29587,30772,32617,34012,34600,35321,35799,35962,36652,37542,37973,41763,42017,42668,46440,1,,79,113,157,168,174,184,204,207,213,229,243,244,262,271,271,284,289,295,307,326,340,346,353,357,359,366,375,379,417,420,426,464,1,
2180,2290,4660,8720,9530,13122,14834,15529,16585,18407,19648,20078,20813,21139,21201,24584,25474,27395,27404,28624,29016,29373,32302,33351,33441,34537,37161,38502,40096,40674,41385,42548,1,,21,22,46,87,95,131,148,155,165,184,196,200,208,211,212,245,254,273,274,286,290,293,323,333,334,345,371,385,400,406,413,425,1,
16100,19401,21509,22938,26921,27319,27781,29302,29509,30212,33711,34267,36912,37607,37881,38343,40631,41534,42551,43115,43768,44241,44953,44980,49773,50490,51141,51348,51589,51822,53627,54688,1,,161,194,215,229,269,273,277,293,295,302,337,342,369,376,378,383,406,415,425,431,437,442,449,449,497,504,511,513,515,518,536,546,1,
6920,12087,18634,19335,20040,21163,21413,23258,24249,24394,24507,25296,27062,28719,32019,32820,33016,33806,33904,35075,37977,40281,41964,42122,42537,42539,42784,43424,43604,44640,44891,46809,1,,69,120,186,193,200,211,214,232,242,243,245,252,270,287,320,328,330,338,339,350,379,402,419,421,425,425,427,434,436,446,448,468,1,
11042,12867,13055,20066,22611,23202,24803,25645,25851,30242,31074,32336,32892,33242,33482,33706,34628,34868,36275,36722,37129,38014,40541,41240,41527,42457,42787,42982,43378,43547,45735,46100,1,,110,128,130,200,226,232,248,256,258,302,310,323,328,332,334,337,346,348,362,367,371,380,405,412,415,424,427,429,433,435,457,461,1,
7110,11442,15309,18356,18379,19715,20946,25900,26437,27973,28830,29099,29716,30299,31324,32501,33852,34195,35955,40012,42711,44820,45475,46094,46595,49673,50778,53233,54400,55680,55839,56360,1,,71,114,153,183,183,197,209,259,264,279,288,290,297,302,313,325,338,341,359,400,427,448,454,460,465,496,507,532,544,556,558,563,1,
1740,5490,7130,10338,10689,12562,13977,15539,15953,15953,17022,19728,20220,20796,21177,23317,24401,24584,24892,25577,26341,28404,28504,29583,30143,31013,31296,31313,33157,35521,35775,36275,1,,17,54,71,103,106,125,139,155,159,159,170,197,202,207,211,233,244,245,248,255,263,284,285,295,301,310,312,313,331,355,357,362,1,
11660,11964,11985,12700,13549,13622,14161,15495,15842,19063,20854,21234,21657,22402,23733,27237,27344,31790,33034,33754,34286,34530,36412,38370,40655,41075,41154,46062,46912,46945,47840,48094,1,,116,119,119,127,135,136,141,154,158,190,208,212,216,224,237,272,273,317,330,337,342,345,364,383,406,410,411,460,469,469,478,480,1,
5860,8430,9080,10844,16191,17247,19609,25081,26577,30643,35109,35746,36580,37819,40091,42560,42835,42842,43399,43759,44083,44196,45471,45698,46094,46971,48906,49081,49193,49903,50058,50959,1,,58,84,90,108,161,172,196,250,265,306,351,357,365,378,400,425,428,428,433,437,440,441,454,456,460,469,489,490,491,499,500,509,1,
1810,1820,5510,9100,11131,12361,14024,16463,17169,17761,17842,18507,19109,21037,22978,24688,26194,26578,27577,30760,32084,33734,33735,34322,36031,36307,36391,37442,40116,40729,41402,41604,1,,18,18,55,91,111,123,140,164,171,177,178,185,191,210,229,246,261,265,275,307,320,337,337,343,360,363,363,374,401,407,414,416,1,
5380,11366,14420,16814,17289,18274,18608,21693,25407,26311,30056,31748,32859,34564,37998,38758,39642,39930,40152,40261,40410,40688,40709,41860,42710,42759,42811,43436,47287,47847,48404,48762,1,,53,113,144,168,172,182,186,216,254,263,300,317,328,345,379,387,396,399,401,402,404,406,407,418,427,427,428,434,472,478,484,487,1,
960,1500,4840,7030,15021,20533,24180,26301,29661,30168,32074,33399,33722,34220,36210,38610,38635,41036,41199,43832,44732,45287,45718,48312,49351,49649,49682,53712,53753,54073,56652,57175,1,,9,15,48,70,150,205,241,263,296,301,320,333,337,342,362,386,386,410,411,438,447,452,457,483,493,496,496,537,537,540,566,571,1,
14141,15560,15794,16270,21169,25175,28078,29468,33796,34013,38862,41327,42487,42789,44576,47046,47330,47899,51437,51806,51816,52768,53703,54426,57476,58138,58148,58476,59171,60065,60176,60535,1,,141,155,157,162,211,251,280,294,337,340,388,413,424,427,445,470,473,478,514,518,518,527,537,544,574,581,581,584,591,600,601,605,1,
3460,5890,10800,15541,18993,19973,25272,25437,25783,29006,30764,31288,31735,33718,34147,35038,39139,39272,40042,40140,40262,40717,41137,41184,41296,41796,41864,42652,42966,43072,44782,44811,1,,34,58,108,155,189,199,252,254,257,290,307,312,317,337,341,350,391,392,400,401,402,407,411,411,412,417,418,426,429,430,447,448,1,
