1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
5,11,14,16,17,18,18,21,25,26,30,31,32,34,37,38,39,39,40,40,40,40,40,41,42,42,42,43,47,47,48,48,49,49,49,51,51,52,52,52,53,53,54,54,55,56,57,58,59,59,59,60,62,63,63,64,64,64,65,65,65,66,67,69,1
,1,4,7,15,20,24,26,29,30,32,33,33,34,36,38,38,41,41,43,44,45,45,48,49,49,49,53,53,54,56,57,57,58,59,59,59,60,60,60,60,60,62,64,64,65,65,65,66,66,67,67,67,68,68,69,69,70,74,74,74,75,75,75,1
14,15,15,16,21,25,28,29,33,34,38,41,42,42,44,47,47,47,51,51,51,52,53,54,57,58,58,58,59,60,60,60,60,63,63,64,64,65,65,67,68,68,69,69,69,70,70,71,72,72,73,74,74,74,74,74,75,76,77,77,80,80,80,81,1
3,5,10,15,18,19,25,25,25,29,30,31,31,33,34,35,39,39,40,40,40,40,41,41,41,41,41,42,42,43,44,44,45,50,52,52,53,53,53,54,55,55,56,57,58,58,58,60,60,60,61,61,61,62,62,63,64,64,65,66,67,68,68,69,1
9,10,13,17,17,19,19,19,22,24,25,25,26,26,27,31,32,32,36,37,38,38,38,38,39,41,41,41,44,44,45,45,45,46,46,48,49,50,50,52,52,52,53,53,53,54,54,55,55,55,56,56,57,57,57,58,59,60,60,61,63,64,65,66,1
5,9,9,15,15,21,23,25,26,27,27,27,28,29,29,31,33,34,36,37,38,40,40,40,41,42,42,44,48,49,49,49,50,50,50,50,51,51,52,54,54,54,54,54,55,55,56,58,58,58,58,59,59,59,60,60,63,64,64,64,64,65,65,66,1
,3,6,12,21,22,23,24,25,26,27,31,32,36,38,41,41,45,45,46,46,47,48,49,49,51,51,53,53,53,53,54,54,54,54,54,55,55,56,56,56,56,56,57,57,59,59,59,59,59,60,60,61,61,62,64,64,66,68,68,68,69,69,69,1
10,20,23,24,24,26,28,29,31,31,32,33,33,33,35,37,38,38,39,40,42,43,44,44,45,46,46,48,49,49,50,50,53,54,54,55,55,56,56,57,57,58,58,59,61,61,62,62,62,64,64,64,66,67,67,67,68,68,69,70,71,72,72,72,1
3,4,8,12,12,16,16,16,18,19,19,19,22,22,22,23,24,28,29,29,30,33,33,33,34,35,36,36,36,36,37,38,38,40,40,40,41,42,42,42,43,43,44,45,46,46,46,46,46,47,47,47,47,48,48,48,48,49,49,50,51,51,51,51,1
7,10,12,13,13,13,15,16,17,18,18,21,23,24,24,24,26,27,28,28,29,30,32,32,33,33,36,36,36,37,40,40,41,43,43,43,44,44,47,48,50,50,51,51,51,53,53,53,53,53,54,54,54,56,58,59,59,59,60,60,61,62,62,63,1
11,13,13,16,19,23,23,24,24,25,27,27,28,29,30,34,37,37,37,38,38,42,42,42,42,43,44,45,46,46,47,48,49,50,50,53,53,53,53,56,56,56,57,57,60,60,61,61,61,61,61,62,63,63,63,64,64,64,65,66,66,66,67,67,1
8,11,12,13,14,16,17,18,19,20,21,21,21,22,25,29,29,31,31,33,34,35,36,36,37,37,38,41,42,43,43,45,45,46,48,49,50,51,51,53,53,53,54,54,55,55,56,56,57,58,58,59,59,59,59,59,59,61,61,62,62,62,63,64,1
5,11,20,24,24,28,29,30,31,32,33,33,34,35,35,36,38,40,40,42,44,44,47,48,49,49,49,49,50,50,51,51,52,54,57,58,58,59,60,63,63,64,64,65,66,66,67,68,70,70,70,71,72,72,73,74,74,74,74,74,75,75,76,76,1
1,2,10,15,17,19,19,22,22,24,25,26,26,27,27,28,29,29,30,30,31,34,34,35,35,36,38,38,38,39,41,42,42,42,42,43,46,49,49,51,52,52,55,55,55,56,56,56,58,59,59,61,62,62,62,62,63,63,63,65,66,66,67,67,1
2,6,9,11,11,12,13,14,14,15,18,19,21,23,24,25,26,28,31,31,34,36,36,38,38,40,42,44,44,44,46,47,47,47,47,47,49,49,49,50,51,51,52,53,53,59,59,59,59,60,60,61,62,63,63,63,63,64,64,64,65,65,67,67,1
4,14,18,18,20,22,22,23,23,23,24,24,24,25,25,27,27,28,29,29,32,33,33,35,35,35,36,38,41,42,44,45,46,46,46,46,47,47,47,49,49,49,49,50,51,51,52,53,53,53,54,54,55,55,56,57,57,57,57,59,59,59,59,60,1
5,6,10,14,18,20,22,23,24,24,24,25,25,27,27,27,28,29,29,29,29,29,30,31,31,32,32,33,33,33,34,39,42,42,42,43,44,44,44,45,46,46,46,47,48,48,49,49,49,49,50,50,51,51,52,52,53,53,54,54,54,54,55,55,1
2,3,8,9,10,11,12,19,20,21,21,26,26,27,28,29,29,29,29,32,34,35,35,35,36,36,36,38,39,39,42,42,43,43,44,46,46,46,47,47,49,49,50,50,50,50,50,51,51,51,52,52,52,52,52,52,53,53,54,54,54,55,55,55,1
4,8,13,15,16,17,18,19,21,21,22,23,23,24,25,26,26,27,29,30,30,30,32,32,34,34,35,35,35,37,37,42,42,42,43,43,44,44,45,46,46,46,47,48,51,52,53,53,54,58,59,59,60,60,60,61,61,62,63,64,64,66,66,66,1
6,13,13,13,14,15,16,17,20,20,21,21,22,22,23,23,23,25,26,26,27,28,29,30,31,31,33,34,35,35,36,37,37,39,40,40,41,41,41,42,43,43,44,45,45,45,47,48,48,48,48,50,51,51,53,53,53,53,53,54,54,55,55,56,1
5,7,8,27,30,34,34,35,35,36,36,38,38,40,41,41,42,42,43,43,43,43,43,45,45,47,48,48,51,52,52,53,54,55,55,56,56,57,57,57,57,57,58,59,60,60,61,61,61,62,62,63,63,63,65,65,66,67,67,67,68,68,69,69,1
8,12,13,13,13,15,16,17,18,19,21,21,22,24,24,26,27,27,29,30,32,32,33,33,34,35,36,37,39,39,40,41,42,42,45,46,46,46,47,48,49,50,52,53,53,53,53,53,54,54,54,55,55,55,55,55,56,56,56,56,57,57,57,57,1
9,14,16,18,19,19,20,20,21,22,23,23,26,26,27,30,31,32,32,34,36,36,37,37,39,39,41,42,44,44,45,47,48,48,49,51,52,53,53,54,54,54,56,56,57,57,58,58,59,60,60,61,62,63,63,64,65,66,66,66,67,68,69,70,1
5,8,9,11,12,16,16,18,18,19,21,29,29,31,31,31,32,33,33,34,37,38,38,38,39,39,39,40,40,41,41,42,42,42,42,44,44,44,44,45,45,47,47,48,48,50,50,50,52,53,53,54,54,55,56,56,56,57,57,57,58,59,59,59,1
20,21,25,26,29,31,32,33,33,33,34,35,35,36,37,39,41,42,42,42,43,44,44,45,46,46,46,46,47,47,49,51,52,54,54,55,58,58,59,59,59,59,60,60,61,62,62,64,64,66,66,67,68,68,69,69,69,70,71,71,72,72,73,73,1
7,7,10,12,15,16,19,22,24,25,25,27,27,29,29,30,31,32,32,32,33,33,33,34,34,35,35,35,38,39,40,41,41,41,41,42,42,43,43,44,46,48,48,49,51,51,52,52,53,54,54,55,56,56,56,57,58,58,58,59,59,60,60,61,1
5,14,16,16,18,19,20,28,29,31,34,34,36,37,37,38,38,38,39,42,42,43,44,45,46,46,46,46,47,47,47,47,47,48,49,49,50,51,52,52,53,53,54,55,56,58,59,59,59,59,60,60,61,63,64,66,66,67,68,69,70,71,71,72,1
1,4,11,14,17,22,24,27,27,28,31,31,32,32,32,33,33,34,34,35,37,37,37,37,38,39,40,41,42,42,42,43,43,45,46,47,48,48,49,51,51,52,52,53,55,55,56,56,57,57,58,58,59,59,60,60,62,64,64,64,64,65,65,65,1
3,5,6,8,9,10,14,15,16,17,19,20,22,23,24,28,28,29,30,32,33,34,36,37,37,39,39,41,42,42,43,45,46,46,47,49,49,50,51,51,51,52,53,53,54,55,56,56,58,59,59,60,61,61,61,61,64,64,65,65,65,67,67,68,1
,12,15,20,22,23,25,26,26,26,27,28,29,31,33,34,34,35,39,39,40,41,41,43,43,43,44,44,47,47,47,49,49,49,49,50,50,51,51,52,52,53,53,53,53,54,54,56,56,57,57,57,58,58,59,59,60,61,61,61,62,64,64,65,1
,12,15,20,22,23,25,26,26,26,27,28,29,31,33,34,34,35,39,39,40,41,41,43,43,43,44,44,47,47,47,49,49,49,49,50,50,51,51,52,52,53,53,53,53,54,54,56,56,57,57,57,58,58,59,59,60,61,61,61,62,64,64,65,1
5,7,11,13,13,15,16,18,18,19,20,23,23,24,24,25,26,27,27,27,29,29,32,33,34,34,36,36,36,37,38,39,39,40,41,41,41,41,42,42,42,43,44,44,47,48,49,49,50,51,51,52,52,52,52,53,53,54,54,56,57,57,59,59,1
4,11,11,12,14,14,16,16,18,20,22,23,27,28,29,30,34,34,35,35,37,38,39,39,40,41,41,45,46,47,48,49,49,49,50,51,52,52,53,53,53,53,53,54,54,54,54,55,57,57,57,57,57,58,59,59,59,60,61,61,61,62,62,63,1
5,11,14,14,17,18,20,22,22,23,23,24,25,27,27,27,27,28,29,29,30,30,32,32,34,34,36,38,44,44,46,46,46,47,47,47,47,48,50,51,52,53,56,57,57,59,60,61,61,61,61,62,62,63,64,64,65,65,66,66,67,67,68,68,1
5,13,17,22,22,24,29,32,37,38,41,41,46,47,48,50,52,53,53,54,54,54,56,56,56,57,58,59,60,60,61,61,61,63,64,64,65,65,66,66,66,66,67,67,68,68,69,71,72,72,72,72,73,73,75,76,77,77,77,78,78,79,79,81,1
8,10,11,14,20,21,24,24,26,29,30,30,31,32,35,35,35,35,36,36,37,38,39,40,40,40,44,44,44,46,46,46,46,47,47,48,48,48,49,50,50,50,51,52,52,53,53,54,54,54,54,54,55,55,56,56,57,57,57,58,58,58,58,59,1
7,7,8,8,13,18,22,23,24,24,26,26,30,30,33,35,36,36,36,36,40,43,43,44,44,44,46,47,47,48,48,51,51,51,51,52,52,53,54,54,55,55,55,56,56,56,57,59,60,60,60,62,62,62,63,64,65,65,66,67,68,70,71,72,1
10,10,18,18,19,19,19,20,21,24,25,30,30,32,33,34,34,34,36,36,39,40,40,42,44,45,46,48,50,50,50,51,52,53,55,56,56,56,56,57,58,59,59,59,59,60,60,61,62,63,63,63,64,65,66,66,67,68,69,69,69,70,71,71,1
12,14,16,17,17,18,18,18,20,24,25,25,26,26,27,28,30,30,32,32,32,33,36,39,39,40,42,42,42,42,42,45,46,51,51,51,51,52,52,52,52,52,53,53,53,54,54,55,55,56,56,57,57,58,58,58,59,60,61,62,62,62,62,62,1
11,14,17,18,19,22,22,22,22,22,26,28,30,31,34,35,38,39,39,39,45,45,45,46,46,48,48,48,49,49,50,51,51,53,54,54,55,55,56,56,58,59,59,59,59,61,62,63,63,63,64,64,66,66,66,67,68,69,69,69,69,70,70,71,1
12,12,15,16,23,24,26,26,27,28,28,30,31,31,35,36,37,38,39,40,41,41,42,42,45,45,46,48,48,48,49,49,50,51,51,51,53,53,53,54,54,57,57,57,59,61,62,62,63,63,63,63,65,65,66,67,67,69,70,70,70,72,72,72,1
4,14,17,18,19,19,20,20,21,21,22,25,25,28,30,30,30,32,36,37,43,43,44,46,46,46,47,49,49,49,50,50,52,52,52,53,53,55,55,55,58,58,58,59,60,60,61,62,62,62,64,64,65,65,67,67,68,68,68,68,70,70,70,71,1
19,21,22,23,23,23,26,27,27,28,29,32,33,34,35,36,37,38,38,39,41,41,42,42,43,43,44,44,47,47,48,49,49,50,51,52,52,53,53,54,54,55,56,56,56,56,56,57,59,59,59,61,63,63,63,64,65,66,66,67,67,67,68,69,1
1,8,12,12,16,17,17,18,18,19,23,24,24,25,25,25,25,26,26,28,28,29,30,33,34,35,39,39,40,40,43,44,45,46,47,48,49,51,51,51,52,52,53,53,53,55,55,56,57,58,59,61,62,62,62,63,63,64,64,66,67,67,67,70,1
3,8,8,9,9,10,11,13,15,18,18,20,28,28,30,30,33,33,35,37,38,39,40,41,41,41,42,44,45,45,45,45,46,46,46,47,47,48,48,48,49,49,51,52,52,55,56,56,57,57,58,58,59,59,59,59,61,61,63,64,64,65,65,66,1
5,11,15,16,17,17,17,18,20,24,24,26,32,33,34,35,38,39,39,40,41,41,41,42,44,45,47,47,47,47,48,49,51,51,52,53,54,54,55,55,58,59,60,60,61,61,61,62,63,63,64,65,65,66,66,68,69,69,69,70,71,72,73,73,1
7,11,18,19,21,21,27,29,30,34,34,35,36,38,38,41,43,45,45,45,48,49,49,51,51,52,53,54,54,55,58,58,59,60,61,61,61,62,62,62,63,63,64,64,64,65,65,67,67,67,68,69,69,69,69,70,70,73,74,75,75,75,77,79,1
14,14,15,21,22,22,24,26,30,33,33,35,37,38,39,40,42,43,44,44,46,46,47,48,49,49,49,49,50,51,51,51,52,53,54,56,56,56,58,58,59,59,60,61,62,62,63,63,63,65,65,66,67,68,69,69,69,69,73,73,74,74,75,76,1
10,14,15,15,15,21,23,24,27,30,32,34,35,38,38,39,39,40,40,42,42,45,45,45,46,46,47,47,49,51,52,52,53,54,54,54,55,56,57,58,59,59,60,61,61,62,63,64,64,65,65,66,66,67,67,67,69,72,72,73,73,74,74,74,1
10,20,20,24,26,27,28,29,30,30,31,31,32,33,34,34,35,36,37,38,38,39,39,39,39,40,40,43,44,45,46,47,49,49,49,51,52,53,53,54,54,54,55,56,58,58,58,58,59,59,60,61,61,63,63,64,65,65,66,66,66,66,66,66,1
5,8,12,16,17,17,20,22,22,23,27,28,29,30,32,34,35,38,39,40,42,43,44,45,45,45,46,46,46,47,48,48,49,50,50,50,52,52,54,55,56,56,56,57,58,59,62,62,63,63,65,65,65,65,66,67,67,67,68,68,68,69,70,70,1
18,19,22,23,24,24,26,26,36,36,38,42,45,45,45,45,46,47,47,48,52,53,53,53,53,55,55,57,58,59,59,59,59,60,61,61,61,62,62,64,64,64,65,65,66,66,68,69,70,70,71,71,72,72,72,72,72,73,73,74,74,74,76,76,1
8,10,11,19,19,22,24,27,30,32,34,34,37,37,37,37,39,40,41,41,42,42,45,46,47,47,48,48,50,52,53,54,55,55,57,57,59,59,59,60,60,60,61,62,62,62,63,64,65,65,65,66,67,69,69,70,71,72,72,72,72,72,74,74,1
4,7,11,12,13,14,16,16,18,25,28,28,28,29,30,32,32,34,34,34,35,35,37,38,39,42,42,44,45,47,48,48,48,50,50,51,51,52,52,54,55,55,55,56,56,57,57,57,58,60,61,61,61,61,62,63,64,64,65,66,67,67,68,68,1
16,17,19,20,21,24,28,29,31,32,33,33,33,33,34,35,35,36,37,38,39,40,42,42,44,46,46,47,47,48,49,50,51,51,52,52,52,53,53,54,54,54,55,55,56,58,58,58,58,60,61,61,63,64,64,66,67,67,68,68,68,68,69,70,1
9,10,16,20,21,23,25,26,27,28,30,31,34,36,36,41,41,42,42,42,44,45,46,47,47,48,48,49,50,51,51,51,52,54,55,56,59,60,60,60,60,62,64,65,66,66,66,68,68,68,68,70,71,71,72,73,73,75,75,75,76,77,78,78,1
8,9,14,15,19,20,22,23,24,27,28,30,32,32,34,36,36,36,37,38,39,39,39,39,39,40,40,41,41,42,45,46,49,50,50,51,51,52,52,54,56,56,56,56,56,57,57,57,60,61,61,61,61,61,61,62,62,62,64,66,67,67,68,68,1
8,14,16,18,18,20,21,21,21,22,22,25,26,29,30,34,37,40,41,41,42,42,42,43,43,43,43,44,44,45,47,48,48,49,49,50,50,50,50,51,51,52,52,54,55,56,56,57,58,58,60,62,62,62,64,64,65,66,66,66,66,67,68,69,1
5,16,19,24,25,26,27,30,32,34,35,36,36,38,38,38,39,40,40,42,42,45,45,48,48,49,50,51,51,52,52,54,55,56,57,57,57,58,58,59,59,59,61,61,62,62,64,65,66,66,67,68,68,69,69,69,70,70,70,73,74,74,75,75,1
3,10,12,12,15,16,21,26,27,28,30,33,34,34,36,38,42,43,45,45,47,48,50,50,52,52,52,52,53,53,54,54,56,56,57,57,58,59,61,62,63,63,64,65,66,66,67,67,67,68,68,69,69,70,70,70,70,70,70,70,70,71,71,71,1
4,5,6,6,7,15,16,17,18,20,20,20,26,26,27,28,28,31,36,37,38,39,39,41,41,42,42,43,46,47,47,47,48,48,48,49,50,50,51,52,52,53,53,54,55,55,58,58,58,58,60,61,64,64,64,67,67,68,68,69,70,70,71,72,1
10,20,20,25,27,33,34,34,37,37,40,40,41,42,42,42,42,43,44,44,46,50,51,51,52,52,53,53,53,53,54,55,56,57,58,59,59,59,59,59,60,60,60,62,62,62,63,63,63,64,65,65,65,66,66,67,67,67,67,68,68,69,70,70,1
14,15,15,20,20,22,22,23,25,29,29,29,30,32,33,37,37,37,42,42,44,44,44,45,45,45,46,46,46,47,49,50,50,51,51,52,54,55,56,56,57,57,57,57,58,58,58,59,60,60,63,63,64,64,64,64,65,67,67,67,67,67,68,69,1
5,9,13,14,15,16,19,21,23,25,27,28,28,31,32,33,33,35,35,37,37,38,38,38,41,43,44,45,48,49,49,50,50,52,52,53,53,53,53,54,55,55,56,56,57,59,59,60,61,61,61,62,62,63,63,64,65,65,65,66,66,67,67,68,1
6,25,26,31,32,32,33,33,34,36,39,39,41,42,43,44,46,47,47,51,55,55,56,57,57,58,58,59,59,59,61,63,63,63,64,65,66,67,70,75,75,75,76,77,77,78,78,78,79,80,81,81,82,82,82,83,83,83,84,84,84,85,85,85,1
4,10,11,12,13,24,25,26,26,26,27,32,32,33,33,33,34,35,35,37,38,40,42,44,44,44,45,46,47,48,48,49,50,53,54,55,56,56,57,57,58,58,58,59,60,60,61,62,62,62,63,64,65,66,66,66,67,68,69,70,70,71,71,71,1
2,12,13,16,26,33,34,34,35,35,36,41,42,42,42,42,43,44,44,49,52,52,53,54,55,56,56,56,56,57,57,57,58,58,59,59,61,61,61,61,61,63,64,64,65,65,66,67,67,67,68,68,69,69,69,70,71,71,73,73,73,74,74,74,1
13,13,14,21,24,24,24,25,26,26,27,27,29,29,30,31,31,32,32,32,33,35,36,37,39,42,43,43,44,45,46,47,49,49,51,51,52,53,53,53,54,55,57,57,57,59,60,61,61,63,63,64,65,65,65,65,66,67,68,70,70,70,70,71,1
3,8,10,11,14,16,23,23,27,28,28,28,31,34,34,34,37,38,40,42,44,45,46,46,46,47,49,50,52,52,53,54,54,54,55,55,55,56,56,56,57,59,63,64,64,65,65,67,69,70,71,72,72,73,73,73,73,74,74,75,75,75,75,75,1
9,12,19,20,20,22,22,23,23,23,27,28,30,30,31,33,33,34,35,37,37,38,39,40,40,41,43,43,44,44,45,45,45,46,48,48,48,49,50,51,51,51,51,52,53,53,54,54,54,55,55,55,56,56,56,57,58,59,59,59,60,60,60,61,1
13,13,14,16,17,17,17,17,17,18,18,19,21,21,22,22,25,26,27,27,28,28,30,31,32,32,33,33,33,35,36,37,38,40,40,41,41,42,42,43,43,43,44,45,46,46,46,46,46,46,46,48,51,52,53,53,53,53,54,55,55,56,56,56,0
