1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
17,21,22,9,8,2,1,2,0,3,0,3,1,0,0,0,0,0,1,0,2,1,17,1,1,2,2,6,2,26,27,17,7,3,1
32,72,97,75,30,24,4,13,9,30,5,36,2,2,3,0,7,1,6,2,11,3,8,1,1,0,1,3,1,4,2,3,1,0,1
27,57,28,31,17,7,1,3,0,9,1,3,3,1,3,0,1,0,5,1,8,5,11,2,11,7,3,2,7,14,12,8,4,4,1
28,80,99,93,41,24,1,17,1,34,1,36,2,3,1,0,5,6,5,4,3,4,6,0,2,3,2,1,0,1,0,1,0,2,1
33,46,66,38,18,9,1,4,5,12,2,22,3,2,0,0,6,2,9,6,9,4,13,1,1,2,1,3,2,10,4,5,4,3,1
24,44,57,26,16,4,1,4,3,7,0,9,1,0,0,0,4,0,1,3,8,2,13,0,3,1,2,9,5,14,11,10,9,3,1
45,80,121,90,41,17,2,13,5,24,3,41,1,1,1,0,1,4,9,9,8,1,7,0,0,3,0,2,2,4,3,3,0,0,1
40,43,65,39,18,11,0,8,3,19,3,13,0,0,1,0,4,2,10,6,5,4,13,1,2,2,0,5,0,7,4,14,2,1,1
34,85,115,115,47,19,1,10,8,27,5,27,1,5,1,0,4,2,3,3,3,0,6,0,0,3,1,2,2,4,3,3,0,0,1
26,46,39,24,22,7,1,7,3,8,6,10,1,0,0,0,1,0,4,2,5,6,16,2,6,4,0,2,3,15,3,14,5,4,1
22,25,28,15,8,6,1,3,2,2,1,4,1,0,2,0,2,0,0,0,2,3,9,1,5,5,5,5,4,22,13,20,2,7,1
31,62,89,71,26,15,1,12,9,30,5,37,3,1,2,0,3,0,4,4,5,1,6,0,5,0,0,0,0,2,4,4,3,1,1
23,39,30,21,8,4,0,3,0,4,1,7,0,0,1,0,1,0,0,0,3,2,18,4,7,3,9,6,2,23,17,16,4,0,1
37,95,103,79,42,16,3,10,6,32,8,36,2,1,2,0,6,2,6,7,7,3,12,0,0,2,0,1,2,1,1,2,1,0,1
36,48,35,41,15,4,1,4,2,8,0,13,0,0,0,0,4,1,1,3,5,5,15,2,3,8,2,6,9,15,9,11,2,3,1
22,41,41,27,7,11,1,4,4,6,1,12,4,0,0,0,1,0,1,5,8,2,19,0,6,4,0,2,6,15,10,10,8,5,1
20,29,30,19,1,3,0,2,0,2,0,2,0,0,0,0,0,0,1,2,3,2,13,3,6,5,0,4,3,28,12,24,3,5,1
37,93,96,90,43,24,0,5,7,31,6,31,3,1,4,0,6,1,8,8,6,1,10,0,0,2,0,1,2,1,2,2,0,2,1
38,37,33,19,7,2,0,3,2,7,5,7,0,0,1,0,3,0,2,2,0,5,17,2,4,2,1,1,4,24,7,23,3,3,1
36,74,112,80,43,18,5,16,6,22,3,38,0,2,2,0,7,1,4,6,2,2,12,0,2,3,0,4,1,6,3,5,0,0,1
30,32,41,21,10,4,1,1,1,9,1,10,0,1,1,0,0,2,9,6,4,7,10,1,3,2,0,5,6,14,8,15,5,6,1
18,15,22,5,3,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,11,1,10,3,8,7,1,16,24,28,3,4,1
28,56,48,31,23,5,1,2,0,8,3,10,1,0,0,0,5,1,1,5,6,3,15,0,4,2,2,3,4,21,8,18,4,2,1
34,55,89,78,45,16,3,16,7,28,3,23,0,0,0,0,4,2,6,6,3,2,11,0,4,1,0,3,2,5,2,6,1,1,1
44,51,65,42,16,7,2,7,0,16,0,13,0,2,0,0,6,1,10,7,5,8,17,1,6,4,1,4,4,17,6,6,0,2,1
21,63,67,52,19,12,2,5,1,14,3,12,3,1,0,0,4,1,4,4,4,1,9,0,5,4,1,4,1,13,9,17,3,0,1
37,105,85,64,30,4,2,6,4,20,3,29,2,0,3,0,1,1,7,11,5,5,18,0,3,0,0,0,3,8,2,10,0,2,1
9,14,11,7,5,2,0,2,0,7,2,5,2,2,1,0,0,0,8,0,2,4,7,3,1,1,7,5,1,5,23,5,7,4,1
4,7,3,1,3,2,0,0,1,1,1,0,0,1,0,0,2,0,2,0,1,5,1,3,1,3,5,1,0,3,10,3,1,3,1
2,5,3,8,1,0,0,1,0,1,2,2,0,1,1,0,2,0,1,0,1,4,1,0,0,1,10,0,0,1,14,2,1,3,1
10,3,11,5,3,3,0,3,0,4,2,5,1,1,2,0,2,0,3,1,2,4,0,1,0,2,3,0,0,3,3,2,1,0,1
