1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1.68E-05,6.60E-05,7.73E-05,0.000126482,0.00012761,0.000147148,0.000179055,0.000196601,0.000200489,0.000239945,0.000252413,0.000259354,0.000302119,0.000305374,0.000316915,0.0003295,0.00033209,0.000351955,0.000360299,0.000364177,0.00038429,0.000396314,0.0004013,0.000402986,0.000403541,0.000403717,0.00041754,0.000446534,0.0004481,0.000451045,0.000456676,0.000469319,1
7.04E-05,7.74E-05,8.11E-05,0.000101294,0.000149463,0.000163205,0.000165152,0.000165246,0.000214354,0.000218519,0.000240134,0.000252629,0.000266903,0.000268818,0.00027225,0.000283632,0.000297256,0.000311878,0.000329789,0.00033822,0.000356117,0.000380892,0.000381355,0.000385939,0.000392704,0.000395015,0.000395164,0.00040264,0.000407208,0.000421497,0.000423719,0.000440148,1
9.31E-05,0.000111428,0.000130487,0.000132598,0.000147085,0.000177032,0.000184603,0.000242245,0.000245877,0.000260813,0.00028697,0.00029407,0.000309273,0.000312624,0.000319198,0.000319632,0.000338676,0.00033879,0.000366345,0.000368506,0.000383603,0.000395939,0.000398488,0.000401179,0.000408473,0.000423103,0.000431102,0.000448349,0.000458005,0.000458581,0.00046566,0.000469176,1
2.71E-05,3.05E-05,8.03E-05,8.53E-05,0.000161827,0.000164778,0.000172223,0.000172409,0.000185328,0.000187554,0.000202831,0.000205835,0.000223577,0.000225727,0.000248275,0.000251037,0.000278257,0.000306458,0.000310515,0.000318187,0.000318649,0.000329188,0.000348661,0.000349275,0.000351918,0.000352715,0.000363775,0.000366741,0.000367166,0.000368728,0.000378086,0.000380461,1
0.000116197,0.0001183,0.000123489,0.000130491,0.000158183,0.000180005,0.000198385,0.000199763,0.000221982,0.000263316,0.000268265,0.000289183,0.000294736,0.000310964,0.000310969,0.000314889,0.000316982,0.000320003,0.000337863,0.000344478,0.00034927,0.000359137,0.000369937,0.000386431,0.000405584,0.000407473,0.000427345,0.000434442,0.000467856,0.000474593,0.000475624,0.000476778,1
0.000121885,0.000171353,0.00018196,0.000202786,0.00023337,0.000239661,0.000251262,0.000260207,0.000309349,0.000326209,0.000330591,0.000331269,0.000353057,0.000358361,0.00036552,0.000366714,0.000368965,0.000377489,0.000379243,0.00038219,0.000399445,0.000404538,0.000434828,0.0004482,0.000449394,0.000451493,0.000458171,0.000473524,0.000475862,0.000482902,0.000488188,0.000489694,1
0.000101291,0.000132612,0.000169893,0.000182599,0.000191063,0.000199971,0.000203936,0.000225661,0.000239996,0.000265018,0.000287022,0.000290072,0.000303864,0.000331734,0.000340644,0.00034793,0.000357634,0.000386591,0.000387244,0.00040335,0.000406503,0.000409953,0.000417489,0.000445791,0.000449904,0.000455719,0.000467787,0.000474883,0.000491607,0.000493636,0.000493824,0.00050055,1
4.24E-05,0.000103133,0.000120501,0.000148026,0.000217866,0.000219353,0.000225004,0.00023549,0.000247478,0.000271557,0.000280247,0.00028517,0.000292736,0.000311539,0.000315189,0.000329471,0.000331758,0.00034136,0.000343343,0.000354969,0.00037965,0.000382492,0.00038917,0.000392668,0.000420633,0.000424235,0.000434666,0.000437571,0.000443231,0.000444397,0.000446104,0.000447522,1
0.000127517,0.000167396,0.00021165,0.000227265,0.000229922,0.000241811,0.000243793,0.000245098,0.000247075,0.000256721,0.000288487,0.000289188,0.00029148,0.000293387,0.000304505,0.000307055,0.000324931,0.000329659,0.000335766,0.000336132,0.000358132,0.000365137,0.00037549,0.000384305,0.000385888,0.000388731,0.000422448,0.000425022,0.000431652,0.000436649,0.000442048,0.000447925,1
6.97E-05,0.000118511,0.000133846,0.000184307,0.00019433,0.00020622,0.000236358,0.000238106,0.00024064,0.000264763,0.000284823,0.000297168,0.000313387,0.00031786,0.000322434,0.000323597,0.000333865,0.000368317,0.000388012,0.000399345,0.000403016,0.000411491,0.000413611,0.000429468,0.000451667,0.000456069,0.000461946,0.000465525,0.000484297,0.000497997,0.000500501,0.000505289,1
9.90E-05,0.000125683,0.000145528,0.000179252,0.000188768,0.000199859,0.000219297,0.000221303,0.000235019,0.000242615,0.000243305,0.000274264,0.000278314,0.000282041,0.000290022,0.000301055,0.000322605,0.000336868,0.00034686,0.000360228,0.000364657,0.000375766,0.000379773,0.000419001,0.000422751,0.000467755,0.000471394,0.000484381,0.000486979,0.000490615,0.000495173,0.000509497,1
8.76E-06,6.67E-05,8.89E-05,0.000164242,0.000183812,0.000188025,0.000199892,0.000202032,0.000202724,0.000217731,0.000221623,0.000230924,0.000242674,0.000258897,0.000271832,0.000284979,0.000305378,0.00031786,0.000318908,0.000330867,0.000340928,0.000346038,0.000360471,0.000369178,0.000370908,0.000372345,0.000379359,0.000381657,0.000399562,0.000402906,0.000417159,0.00041891,1
8.54E-05,0.000107578,0.000148762,0.000165689,0.000169762,0.000172151,0.000177849,0.000232007,0.00023438,0.000263482,0.000265051,0.000282451,0.000305497,0.00031052,0.000310725,0.000325384,0.000327724,0.000331348,0.000341596,0.000363006,0.000377718,0.000388316,0.00040151,0.000431008,0.000449897,0.000461418,0.000474788,0.000479849,0.000485541,0.000495871,0.000500343,0.000511335,1
7.90E-05,0.000113726,0.00015732,0.000168873,0.000174932,0.000184533,0.000204014,0.000207146,0.000213354,0.000229034,0.00024361,0.000244342,0.000262854,0.000271067,0.000271755,0.000284734,0.00028913,0.000295874,0.000307724,0.000326167,0.000340116,0.000345997,0.000353205,0.000357985,0.000359616,0.000366516,0.000375418,0.000379734,0.000417625,0.000420173,0.000426679,0.0004644,1
